country,country_iso3,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
Afghanistan,AFG,11.06,37.08,25.74,100.0,71.07,16.16,25.24,5.8,39.68
Albania,ALB,53.2,33.81,81.12,50.16,75.05,59.8,60.6,43.57,67.58
Algeria,DZA,44.34,32.14,72.97,91.58,60.38,51.16,35.55,14.1,72.06
Andorra,AND,38.53,46.09,-1.0,62.88,78.29,-1.0,85.16,80.95,-1.0
Angola,AGO,-1.0,45.2,18.05,100.0,74.93,-1.0,33.15,10.87,48.79
Antigua and Barbuda,ATG,-1.0,42.98,81.42,65.98,-1.0,-1.0,85.0,67.38,27.35
Argentina,ARG,58.76,22.33,81.01,69.34,79.22,45.02,76.93,67.06,78.84
Armenia,ARM,55.53,30.04,78.43,64.22,77.07,77.45,60.69,19.33,79.29
Aruba,ABW,-1.0,-1.0,68.4,54.31,14.48,-1.0,-1.0,-1.0,-1.0
Australia,AUS,74.43,64.7,92.6,60.74,68.66,62.97,89.96,81.41,72.3
Austria,AUT,74.66,60.28,93.68,56.49,70.27,79.91,88.21,82.01,75.46
Azerbaijan,AZE,47.78,44.22,77.78,73.77,67.06,68.4,22.0,19.66,79.4
Bahamas,BHS,-1.0,-1.0,77.11,68.48,63.09,-1.0,91.0,65.58,78.31
Bahrain,BHR,57.86,69.12,82.8,68.07,23.3,-1.0,19.79,42.76,80.52
Bangladesh,BGD,32.12,47.69,47.33,95.24,74.15,31.75,31.89,6.1,1.74
Barbados,BRB,-1.0,42.66,88.3,55.89,67.54,-1.0,95.0,67.0,85.41
Belarus,BLR,55.37,39.67,86.83,52.12,79.22,56.69,22.71,26.68,72.68
Belgium,BEL,73.15,54.84,94.35,69.34,67.91,61.34,89.38,81.8,74.67
Belize,BLZ,30.88,54.65,71.25,68.77,66.46,-1.0,78.76,37.01,67.12
Benin,BEN,36.78,55.39,19.71,89.69,72.21,-1.0,58.39,19.13,55.54
Bhutan,BTN,-1.0,50.64,59.88,78.56,87.9,-1.0,59.12,12.37,92.41
Bolivia,BOL,44.15,52.15,56.99,73.98,79.72,57.15,52.76,23.79,60.4
Bosnia and Herzegovina,BIH,53.91,27.97,70.79,66.51,66.08,64.99,47.68,43.72,76.87
Bosnia-Herzegovina,BIH,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.43,-1.0,-1.0
