country,country_iso3,category,available_weight,total_category_weight,coverage_ratio,variable_count,has_primary_source,category_score,reason
Afghanistan,AFG,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,11.06,ok
Albania,ALB,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,53.2,ok
Algeria,DZA,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,44.34,ok
Andorra,AND,calidad_de_vida_y_bienestar,0.3,1.0,0.3,1,True,38.53,ok
Angola,AGO,calidad_de_vida_y_bienestar,0.25,1.0,0.25,1,False,-1.0,insufficient_coverage
Antigua and Barbuda,ATG,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Argentina,ARG,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,58.76,ok
Armenia,ARM,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,55.53,ok
Aruba,ABW,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Australia,AUS,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,74.43,ok
Austria,AUT,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,74.66,ok
Azerbaijan,AZE,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,47.78,ok
Bahamas,BHS,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Bahrain,BHR,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,57.86,ok
Bangladesh,BGD,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,32.12,ok
Barbados,BRB,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Belarus,BLR,calidad_de_vida_y_bienestar,0.55,1.0,0.55,2,True,55.37,ok
Belgium,BEL,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,73.15,ok
Belize,BLZ,calidad_de_vida_y_bienestar,0.3,1.0,0.3,1,True,30.88,ok
Benin,BEN,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,36.78,ok
Bhutan,BTN,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Bolivia,BOL,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,44.15,ok
Bosnia and Herzegovina,BIH,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,53.91,ok
Bosnia-Herzegovina,BIH,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Botswana,BWA,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,37.61,ok
Brazil,BRA,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,57.43,ok
Brunei,BRN,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Bulgaria,BGR,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,58.83,ok
Burkina Faso,BFA,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,35.51,ok
Burundi,BDI,calidad_de_vida_y_bienestar,0.25,1.0,0.25,1,False,-1.0,insufficient_coverage
Cambodia,KHM,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,39.86,ok
Cameroon,CMR,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,35.4,ok
Canada,CAN,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,74.82,ok
Cape Verde,CPV,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Central African Republic,CAF,calidad_de_vida_y_bienestar,0.25,1.0,0.25,1,False,-1.0,insufficient_coverage
Chad,TCD,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,28.74,ok
Chile,CHL,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,64.97,ok
China,CHN,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,58.9,ok
Colombia,COL,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,56.66,ok
Comoros,COM,calidad_de_vida_y_bienestar,0.7,1.0,0.7,2,True,30.33,ok
Congo-Brazzaville,COG,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Costa Rica,CRI,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,67.22,ok
Croatia,HRV,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,63.29,ok
Cuba,CUB,calidad_de_vida_y_bienestar,0.55,1.0,0.55,2,True,44.68,ok
Cyprus,CYP,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,63.36,ok
Czechia,CZE,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,72.8,ok
Côte d'Ivoire,CIV,calidad_de_vida_y_bienestar,0.0,1.0,0.0,0,False,-1.0,no_data
Democratic Republic of the Congo,COD,calidad_de_vida_y_bienestar,0.45,1.0,0.45,1,True,32.95,ok
Denmark,DNK,calidad_de_vida_y_bienestar,1.0,1.0,1.0,3,True,78.64,ok
Djibouti,DJI,calidad_de_vida_y_bienestar,0.25,1.0,0.25,1,False,-1.0,insufficient_coverage
