country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Afghanistan,AFG,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,154.25,0.0,0.25,False
Afghanistan,AFG,calidad_de_vida_y_bienestar,world_happiness_ladder_score_2024,world-happiness-2024/World-happiness-report-2024.csv,1.721,17.21,0.45,True
Albania,ALB,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,75.5,53.4887,0.25,False
Albania,ALB,calidad_de_vida_y_bienestar,world_happiness_ladder_score_2024,world-happiness-2024/World-happiness-report-2024.csv,5.304,53.04,0.45,True
Algeria,DZA,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,110.5,27.5862,0.25,False
Algeria,DZA,calidad_de_vida_y_bienestar,world_happiness_ladder_score_2024,world-happiness-2024/World-happiness-report-2024.csv,5.364,53.64,0.45,True
Andorra,AND,calidad_de_vida_y_bienestar,city_quality_of_life_composite,city-quality-of-life-dataset/uaScoresDataFrame.csv,3.853500000000001,38.535,0.3,True
Angola,AGO,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,141.75,4.4589,0.25,False
Argentina,ARG,calidad_de_vida_y_bienestar,city_quality_of_life_composite,city-quality-of-life-dataset/uaScoresDataFrame.csv,5.553636363636364,55.5364,0.3,True
Argentina,ARG,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,70.75,57.004,0.25,False
Argentina,ARG,calidad_de_vida_y_bienestar,world_happiness_ladder_score_2024,world-happiness-2024/World-happiness-report-2024.csv,6.188,61.88,0.45,True
Armenia,ARM,calidad_de_vida_y_bienestar,city_quality_of_life_composite,city-quality-of-life-dataset/uaScoresDataFrame.csv,5.887090909090909,58.8709,0.3,True
Armenia,ARM,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,75.75,53.3037,0.25,False
Armenia,ARM,calidad_de_vida_y_bienestar,world_happiness_ladder_score_2024,world-happiness-2024/World-happiness-report-2024.csv,5.455,54.55,0.45,True
Australia,AUS,calidad_de_vida_y_bienestar,city_quality_of_life_composite,city-quality-of-life-dataset/uaScoresDataFrame.csv,6.220810606060607,62.2081,0.3,True
Australia,AUS,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,18.0,96.0428,0.25,False
Australia,AUS,calidad_de_vida_y_bienestar,world_happiness_ladder_score_2024,world-happiness-2024/World-happiness-report-2024.csv,7.057,70.57,0.45,True
Austria,AUT,calidad_de_vida_y_bienestar,city_quality_of_life_composite,city-quality-of-life-dataset/uaScoresDataFrame.csv,6.4477121212121205,64.4771,0.3,True
Austria,AUT,calidad_de_vida_y_bienestar,global_prosperity_average_rank_inverted,2023-global-prosperity-index-w-region-politics/global_prosperity_regions_politics.csv,16.75,96.9679,0.25,False
