source,raw_country,normalized_country
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,American Samoa,American Samoa
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Anguilla,Anguilla
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Bermuda,Bermuda
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Canary Is,Canary Is
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Cayman Islands (the),Cayman Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Cook Islands (the),Cook Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,French Guiana,French Guiana
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,French Polynesia,French Polynesia
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Guadeloupe,Guadeloupe
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Guam,Guam
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Isle of Man,Isle of Man
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Lao People's Democratic Republic (the),Lao People's Democratic Republic (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Macedonia (the former Yugoslav Republic of),Macedonia (the former Yugoslav Republic of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Marshall Islands (the),Marshall Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Martinique,Martinique
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Micronesia (Federated States of),Micronesia (Federated States of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Moldova (the Republic of),Moldova (the Republic of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Montserrat,Montserrat
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Netherlands (the),Netherlands (the)
