rank,country,country_iso3,cluster,indice_habitabilidad,indices_disponibles,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
1,Luxembourg,LUX,2,79.30444444444444,9,74.09,69.46,93.9,46.89,65.91,79.35,92.89,90.06,94.97
2,Denmark,DNK,2,78.73444444444445,9,78.64,69.31,88.83,43.38,79.37,83.07,95.12,80.54,77.11
3,Finland,FIN,2,78.50444444444445,9,78.78,58.87,90.14,34.82,82.08,81.31,95.78,78.88,75.52
4,Switzerland,CHE,2,78.20777777777778,9,74.77,73.15,93.6,50.9,75.32,83.91,92.94,84.95,76.13
5,Norway,NOR,2,77.41666666666666,9,75.91,70.48,92.49,47.07,75.93,78.1,98.31,81.19,71.41
6,Iceland,ISL,2,76.71111111111111,9,76.48,76.62,90.04,53.35,74.17,82.36,91.72,79.25,73.11
7,Estonia,EST,2,76.58444444444444,9,72.05,50.25,87.48,47.81,77.07,82.96,91.15,79.24,96.87
8,Côte d'Ivoire,CIV,0,76.455,2,,,,,84.08,,68.83,,
9,Malta,MLT,2,75.89,9,64.49,52.8,92.67,51.32,73.55,88.94,78.77,83.11,100.0
10,Lithuania,LTU,2,75.83666666666666,9,70.5,46.14,85.34,32.33,77.69,75.84,88.8,76.12,94.43
11,Sweden,SWE,2,75.54444444444445,9,76.48,60.36,90.98,49.42,83.51,64.91,95.85,82.54,74.69
12,Singapore,SGP,2,74.39888888888888,9,72.87,75.89,89.92,32.84,59.67,82.41,52.32,85.33,84.02
13,Austria,AUT,2,74.22111111111111,9,74.66,60.28,93.68,56.49,70.27,79.91,88.21,82.01,75.46
14,Netherlands,NLD,2,74.14444444444445,9,77.12,65.76,90.34,62.1,73.17,82.9,95.05,80.87,64.19
15,New Zealand,NZL,2,74.10111111111111,9,75.06,65.68,88.67,59.63,79.9,63.98,93.68,80.69,78.88
16,Ireland,IRL,2,74.02499999999999,8,74.03,,88.57,65.94,73.11,73.29,94.92,82.19,72.03
17,Czechia,CZE,2,73.07777777777777,9,72.8,52.82,92.3,43.63,66.05,80.98,87.42,77.06,71.9
18,Israel,ISR,2,72.62333333333333,9,68.8,64.44,91.43,27.61,61.13,64.33,70.83,70.02,90.24
19,Germany,DEU,2,72.60666666666667,9,73.83,61.66,94.61,59.83,72.29,67.97,91.18,82.26,69.49
20,United Kingdom,GBR,2,72.49555555555554,9,72.81,62.73,88.42,56.67,78.23,66.02,88.37,76.95,75.6
21,Grenada,GRD,0,72.42599999999999,5,,44.21,75.21,,,,89.0,57.88,95.83
22,Slovenia,SVN,2,72.35666666666667,9,71.81,55.14,90.91,65.34,64.89,83.89,82.5,78.97,88.44
23,Northern Cyprus,CTU,0,72.01,1,,,,,,,72.01,,
24,Monaco,MCO,2,72.0,5,,63.57,,51.47,80.25,,83.0,84.65,
25,Australia,AUS,2,71.81,9,74.43,64.7,92.6,60.74,68.66,62.97,89.96,81.41,72.3
26,Latvia,LVA,2,71.71888888888888,9,67.88,46.21,84.52,40.94,81.27,68.83,86.11,78.81,72.78
27,Hong Kong,HKG,2,71.53875,8,74.31,,74.41,6.89,58.4,84.86,53.17,55.75,78.3
28,Portugal,PRT,2,71.48222222222222,9,68.88,51.34,89.91,72.98,81.22,72.12,91.0,79.23,82.62
29,Slovakia,SVK,2,71.45666666666665,9,66.68,45.3,88.22,39.99,67.56,76.96,85.09,76.61,76.68
30,Liechtenstein,LIE,2,70.95,5,,69.23,73.08,64.41,,,87.42,89.43,
31,Poland,POL,2,70.60666666666667,9,67.75,46.79,90.12,42.97,73.36,77.88,74.76,76.77,71.0
32,Spain,ESP,2,70.32666666666667,9,71.66,41.83,91.07,70.92,79.32,74.48,85.47,81.33,78.7
33,Japan,JPN,2,70.28666666666668,9,68.37,61.74,97.75,55.02,71.06,82.69,83.42,74.11,48.46
34,East Timor,TLS,0,70.10499999999999,2,,55.72,,,,,84.49,,
35,Barbados,BRB,2,70.00285714285714,7,,42.66,88.3,55.89,67.54,,95.0,67.0,85.41
36,Belgium,BEL,2,69.78888888888889,9,73.15,54.84,94.35,69.34,67.91,61.34,89.38,81.8,74.67
37,South Korea,KOR,3,69.78111111111112,9,68.03,60.77,96.69,34.67,37.92,78.2,78.18,74.8,68.11
